run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,expected_answer,step,thought,answer,answer_normalized,correct,confidence,model_stop_flag,answer_changed,thought_token_count,raw_generation_tokens,mean_token_logprob,entropy_mean,entropy_std,hidden_norm,hidden_l2_shift,hidden_cosine_shift,lexical_echo,verbose_confidence_proxy,utility,elapsed_seconds,tokens_per_second,gpu_memory_allocated_gb,seed,temperature,device,prompt_mode,system_prompt_mode,is_baseline,parse_success,output_format_type,answer_extraction_source,stop_extraction_source,confidence_extraction_source,hit_max_new_tokens,truncated_output_suspected,raw_text_length_chars,raw_text_length_tokens,raw_text
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,1.0,Converting the fraction to a decimal to identify the repeating pattern.,6,6,0.0,95.0,1.0,0.0,11.0,53.0,-0.0787166208028793,0.1851405948400497,0.3924426436424255,127.93418884277344,0.0,0.0,0.0,1.48,0.0,39.698047045618296,1.3350782707042492,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,155.0,53.0,"```json
{
  ""thought"": ""Converting the fraction to a decimal to identify the repeating pattern."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": true
}
```"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,2.0,Checking the length of the repeating decimal pattern for the fraction 31/11111,6,6,0.0,95.0,0.0,0.0,13.0,61.0,-0.1161425188183784,0.1963294893503189,0.4407531917095184,138.85914611816406,37.694644927978516,0.036632239818573,0.3333333333333333,1.56,-0.05,35.16457068407908,1.734700546980317,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,163.0,61.0,"```json
{
  ""thought"": ""Checking the length of the repeating decimal pattern for the fraction 31/11111"",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": false
}
```"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,3.0,Verifying the length of the repeating decimal pattern for the fraction 31 / 11111,6,6,0.0,95.0,0.0,0.0,13.0,63.0,-0.0347812101244926,0.087479330599308,0.2328060418367386,140.23129272460938,23.201858520507812,0.013774633407592773,0.625,1.58,-0.1,36.071168492082506,1.7465472462814249,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,162.0,63.0,"```json
{
  ""thought"": ""Verifying the length of the repeating decimal pattern for the fraction 31 / 11111"",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": 0
}
```"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,4.0,Verifying the repeating decimal pattern for the fraction 31 / 11111 by performing long division.,6,6,0.0,95.0,0.0,0.0,14.0,60.0,-0.1172566637396812,0.2334656715393066,0.5078192353248596,144.65579223632812,26.126487731933594,0.0163424015045166,0.5625,1.5499999999999998,-0.15,41.64029303379357,1.4409120500498505,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,165.0,60.0,"{
  ""thought"": ""Verifying the repeating decimal pattern for the fraction 31 / 11111 by performing long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": 0
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,5.0,Performing the long division to confirm the repeating pattern length for the fraction 31 / 11111,6,6,0.0,95.0,0.0,0.0,15.0,65.0,-0.0856960788369178,0.1890898495912552,0.4166464805603027,145.7310791015625,25.340991973876953,0.015203535556793213,0.6470588235294118,1.6,-0.2,37.99656361527741,1.71068101468695,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,177.0,65.0,"```json
{
  ""thought"": ""Performing the long division to confirm the repeating pattern length for the fraction 31 / 11111"",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": 0
}
```"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,6.0,Verifying the repeating decimal pattern for the fraction 31 / 11111 by checking the quotient obtained from the long division.,6,6,0.0,95.0,0.0,0.0,19.0,64.0,-0.1285292506217956,0.2812414467334747,0.5725717544555664,147.7657012939453,32.03157424926758,0.023727059364318848,0.6,1.59,-0.25,35.640221748966724,1.7957239562308693,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,198.0,64.0,"{
  ""thought"": ""Verifying the repeating decimal pattern for the fraction 31 / 11111 by checking the quotient obtained from the long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": false
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,7.0,Comparing the obtained repeating decimal pattern with the expected pattern to confirm the length of the repeating sequence.,6,6,0.0,95.0,0.0,0.0,18.0,55.0,-0.1244189366698265,0.2625716924667358,0.5350552797317505,141.41888427734375,36.37334060668945,0.030692100524902344,0.32,1.5,-0.3,43.4249285380356,1.2665536099115482,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,196.0,55.0,"{
  ""thought"": ""Comparing the obtained repeating decimal pattern with the expected pattern to confirm the length of the repeating sequence."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": false
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,8.0,Performing a final check to ensure the accuracy of the repeating decimal pattern length for the fraction 31 / 11111.,6,6,0.0,95.0,0.0,0.0,19.0,65.0,-0.0947393849492073,0.2004046738147735,0.4587754309177398,148.21922302246094,36.70026397705078,0.03102588653564453,0.36666666666666664,1.6,-0.35,53.79632113687694,1.2082610599824646,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,185.0,65.0,"{
  ""thought"": ""Performing a final check to ensure the accuracy of the repeating decimal pattern length for the fraction 31 / 11111."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": 0
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,9.0,Verifying the repeating decimal pattern for the fraction 31 / 11111 by examining the quotient obtained from the long division.,6,6,0.0,95.0,0.0,0.0,19.0,64.0,-0.1339827328920364,0.2675579786300659,0.6099057197570801,152.17739868164062,26.45014190673828,0.015161216259002686,0.3,1.59,-0.4,45.15204764716327,1.417432947894687,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,199.0,64.0,"{
  ""thought"": ""Verifying the repeating decimal pattern for the fraction 31 / 11111 by examining the quotient obtained from the long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": false
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,10.0,Confirming the length of the repeating decimal pattern for the fraction 31 / 11111 by observing the repeating sequence in the quotient obtained from the long division.,6,6,0.0,95.0,0.0,0.0,26.0,71.0,-0.1061493530869484,0.2284189164638519,0.5887484550476074,154.61703491210938,24.48033905029297,0.01260840892791748,0.5517241379310345,1.66,-0.45,51.52855523722246,1.3778767844962212,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,240.0,71.0,"{
  ""thought"": ""Confirming the length of the repeating decimal pattern for the fraction 31 / 11111 by observing the repeating sequence in the quotient obtained from the long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": false
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,11.0,Verifying the repeating decimal pattern for the fraction 31 / 11111 by analyzing the repeating sequence in the quotient obtained from the long division.,6,6,0.0,95.0,0.0,0.0,23.0,68.0,-0.065533697605133,0.1785415410995483,0.4708066880702972,156.6544952392578,19.109724044799805,0.007452726364135742,0.7391304347826086,1.63,-0.5,49.938871052116156,1.3616647426617887,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,225.0,68.0,"{
  ""thought"": ""Verifying the repeating decimal pattern for the fraction 31 / 11111 by analyzing the repeating sequence in the quotient obtained from the long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": false
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,12.0,Confirming the length of the repeating decimal pattern for the fraction 31 / 11111 by observing the repeating sequence in the quotient obtained from the long division.,6,6,0.0,95.0,0.0,0.0,26.0,72.0,-0.0659369751811027,0.1542371809482574,0.4229305684566498,159.74630737304688,17.613630294799805,0.0060076117515563965,0.9090909090909091,1.67,-0.55,58.364122543949634,1.2336345833997968,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,236.0,72.0,"{
  ""thought"": ""Confirming the length of the repeating decimal pattern for the fraction 31 / 11111 by observing the repeating sequence in the quotient obtained from the long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": 0
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,13.0,Verifying the repeating decimal pattern for the fraction 31 / 11111 by confirming the length of the repeating sequence observed in the quotient obtained from the long division.,6,6,0.0,95.0,0.0,0.0,27.0,72.0,-0.1077522188425064,0.2396993041038513,0.5735584497451782,163.16265869140625,16.455793380737305,0.004970729351043701,0.8695652173913043,1.67,-0.6000000000000001,67.81970397103578,1.061638370328917,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,249.0,72.0,"{
  ""thought"": ""Verifying the repeating decimal pattern for the fraction 31 / 11111 by confirming the length of the repeating sequence observed in the quotient obtained from the long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": false
}"
yi_1p5_9b_chat__math_test_00000_5a6bb412__temp0.10__seed7,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,math_test_00000_5a6bb412,math,MATH 4,math,0,5,14.0,Verifying the repeating decimal pattern for the fraction 31 / 11111 by confirming the length of the repeating sequence observed in the quotient obtained from the long division.,6,6,0.0,95.0,1.0,0.0,27.0,72.0,-0.0525495670735836,0.149305522441864,0.4114235043525696,163.55615234375,12.092266082763672,0.0027367472648620605,0.9545454545454546,1.67,-0.65,65.59065527375787,1.0977173455500824,16.47730302810669,7,0.1,cuda,minimal_json,default,0,1.0,json_exact,json_field,json_field,json_field,0.0,0.0,248.0,72.0,"{
  ""thought"": ""Verifying the repeating decimal pattern for the fraction 31 / 11111 by confirming the length of the repeating sequence observed in the quotient obtained from the long division."",
  ""answer"": ""6"",
  ""confidence"": 95,
  ""stop"": true
}"
