run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,temperature,seed,prompt_mode,system_prompt_mode,is_baseline,ever_correct,correct_at_step_1,oracle_stop,first_correct_step,first_model_stop_step,revision_count,best_utility,final_correct,device
mistral_7b_instruct_v0p3__math_test_00000_5a6bb412__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00000_5a6bb412,math,MATH 4,math,0,0.1,7,minimal_json,default,0,0,0,1,14,7,6,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00001_28176864__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00001_28176864,math,MATH 5,math,1,0.1,7,minimal_json,default,0,0,0,1,14,6,11,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00002_12859ab8__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00002_12859ab8,math,MATH 5,math,2,0.1,7,minimal_json,default,0,0,0,1,14,3,3,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00003_b88cddac__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00003_b88cddac,math,MATH 2,math,3,0.1,7,minimal_json,default,0,0,0,1,14,10,11,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00004_d6afb929__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00004_d6afb929,math,MATH 5,math,4,0.1,7,minimal_json,default,0,0,0,1,14,9,8,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00005_82ab404f__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00005_82ab404f,math,MATH 5,math,5,0.1,7,minimal_json,default,0,0,0,1,14,5,6,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00006_27e7448e__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00006_27e7448e,math,MATH 4,math,6,0.1,7,minimal_json,default,0,0,0,1,14,2,3,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00007_8a27500a__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00007_8a27500a,math,MATH 5,math,7,0.1,7,minimal_json,default,0,0,0,1,14,12,9,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00008_e894d48c__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00008_e894d48c,math,MATH 2,math,8,0.1,7,minimal_json,default,0,0,0,1,14,7,8,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00009_99c62e67__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00009_99c62e67,math,MATH 3,math,9,0.1,7,minimal_json,default,0,0,0,1,14,3,2,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00010_88e977e0__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00010_88e977e0,math,MATH 3,math,10,0.1,7,minimal_json,default,0,0,0,1,14,7,11,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00011_3e051151__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00011_3e051151,math,MATH 2,math,11,0.1,7,minimal_json,default,0,1,1,1,1,1,4,1.0,1,cuda
mistral_7b_instruct_v0p3__math_test_00012_2ce46331__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00012_2ce46331,math,MATH 5,math,12,0.1,7,minimal_json,default,0,0,0,1,14,1,8,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00013_3fae6c79__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00013_3fae6c79,math,MATH 3,math,13,0.1,7,minimal_json,default,0,0,0,1,14,2,4,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00014_4bed628b__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00014_4bed628b,math,MATH 4,math,14,0.1,7,minimal_json,default,0,0,0,1,14,1,2,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00015_04ca2ad3__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00015_04ca2ad3,math,MATH 2,math,15,0.1,7,minimal_json,default,0,0,0,1,14,5,3,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00016_da610902__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00016_da610902,math,MATH 1,math,16,0.1,7,minimal_json,default,0,0,0,1,14,1,10,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00017_c6ed297b__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00017_c6ed297b,math,MATH 1,math,17,0.1,7,minimal_json,default,0,0,0,1,14,4,5,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00018_407dceb0__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00018_407dceb0,math,MATH 3,math,18,0.1,7,minimal_json,default,0,0,0,1,14,1,4,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00019_646b1b85__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00019_646b1b85,math,MATH 4,math,19,0.1,7,minimal_json,default,0,1,0,3,3,1,2,0.9,1,cuda
mistral_7b_instruct_v0p3__math_test_00020_f9bb4c02__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00020_f9bb4c02,math,MATH 5,math,20,0.1,7,minimal_json,default,0,0,0,1,14,1,2,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00021_b40f659d__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00021_b40f659d,math,MATH 1,math,21,0.1,7,minimal_json,default,0,1,0,7,7,1,5,0.7,1,cuda
mistral_7b_instruct_v0p3__math_test_00022_8fba220b__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00022_8fba220b,math,MATH 4,math,22,0.1,7,minimal_json,default,0,0,0,1,14,14,4,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00023_998c2d9c__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00023_998c2d9c,math,MATH 5,math,23,0.1,7,minimal_json,default,0,0,0,1,14,1,10,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00024_f928c750__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00024_f928c750,math,MATH 4,math,24,0.1,7,minimal_json,default,0,0,0,1,14,4,0,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00025_4388bd76__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00025_4388bd76,math,MATH 1,math,25,0.1,7,minimal_json,default,0,0,0,1,14,5,4,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00026_4945051e__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00026_4945051e,math,MATH 1,math,26,0.1,7,minimal_json,default,0,0,0,1,14,1,4,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00027_9d852676__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00027_9d852676,math,MATH 5,math,27,0.1,7,minimal_json,default,0,0,0,1,14,2,3,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00028_a585adcc__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00028_a585adcc,math,MATH 2,math,28,0.1,7,minimal_json,default,0,0,0,1,14,1,2,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00029_1b84e405__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00029_1b84e405,math,MATH 2,math,29,0.1,7,minimal_json,default,0,0,0,1,14,3,4,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00030_a477f137__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00030_a477f137,math,MATH 4,math,30,0.1,7,minimal_json,default,0,0,0,1,14,5,4,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00031_1bbccbd2__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00031_1bbccbd2,math,MATH 5,math,31,0.1,7,minimal_json,default,0,0,0,1,14,1,2,0.0,0,cuda
mistral_7b_instruct_v0p3__math_test_00032_f08fb3bb__temp0.10__seed7,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,math_test_00032_f08fb3bb,math,MATH 3,math,32,0.1,7,minimal_json,default,0,1,0,2,2,4,3,0.95,0,cuda
