id,year,title,cluster,claim_summary,math_object,observables,assumptions,ignored_failure_modes,evidence_type,relevance,verdict
2603.22016,2026,"ROM: Real-time Overthinking Mitigation via Streaming Detection and Intervention","overthinking_detection","Uses a lightweight hidden-state head for token-level streaming overthinking detection and early answer emission.","token-level boundary classification","late hidden states, correctness boundaries","frozen backbone plus labeled boundaries","does not define continuation utility or proxy bias","empirical","Strong evidence that hidden states contain online stop information.",keep
2603.12529,2026,"TERMINATOR: Learning Optimal Exit Points for Early Stopping in Chain-of-Thought Reasoning","early_exit","Learns first-answer positions and turns them into supervision for optimal reasoning length.","supervised exit prediction","first-answer position, CoT length","optimal first-answer labels are learnable","does not model repair and corruption hazards explicitly","empirical","Useful operational baseline for answer-arrival prediction.",keep
2603.14251,2026,"Mitigating Overthinking in Large Reasoning Language Models via Reasoning Path Deviation Monitoring","overthinking_detection","Stops reasoning when high-entropy transition tokens signal deviation from the correct path.","path deviation index","transition-token entropy, path deviation","overthinking coincides with deviation events","weak on utility theory and sequential validity","empirical","Supports entropy and path-deviation as covariates, not as core theory.",keep_as_feature
2603.08659,2026,"CODA: Difficulty-Aware Compute Allocation for Adaptive Reasoning","adaptive_compute","Formalizes adaptive reasoning as utility maximization with marginal gain versus cost.","utility maximization","internal difficulty signal, rollout statistics","difficulty can be estimated from policy-internal signals","does not decompose utility into hazards or proxy bias","empirical_with_optimization_formalism","Closest literature match to the drift-minus-cost perspective.",keep
2602.23681,2026,"ODAR: Principled Adaptive Routing for LLM Reasoning via Active Inference","adaptive_compute","Routes inputs between fast and slow agents using active inference and free-energy fusion.","variational free energy","difficulty estimator, varentropy","difficulty and epistemic uncertainty guide compute allocation","stopping is routing-level, not token-level continuation value","empirical_with_formal_objective","Useful control interpretation and uncertainty signal source.",keep_as_background
2603.12372,2026,"Efficient Reasoning with Balanced Thinking","hidden_state_control","Steers reasoning away from overthinking and underthinking using confidence variance and hidden-state prototypes.","hidden-state steering vector","confidence variance, hidden prototypes","confidence dynamics reflect reasoning mode","no direct theorem for stopping value","empirical","Supports confidence variance and steering as operational tools.",keep_as_feature
2601.17223,2026,"Beyond Outcome Verification: Verifiable Process Reward Models for Structured Reasoning","process_supervision","Replaces neural step judges with deterministic verifiers for intermediate reasoning steps.","verifiable process reward model","deterministic rule-based step verification","intermediate steps can be programmatically checked","domain specificity may limit generality","empirical","Important for exact-step verification and verifier-backed q_t on narrow tasks.",keep
2603.05739,2026,"Revisiting the (Sub)Optimality of Best-of-N for Inference-Time Alignment","reward_hacking","Shows tuned Best-of-N can be win-rate optimal while still remaining reward-hackable.","win-rate objective under proxy selection","reward model scores, pairwise win rate","win rate is the right objective for some alignment settings","does not solve continuation stopping inside a single trajectory","theory_plus_empirical","Clarifies that proxy success and proxy misalignment can coexist.",keep
2603.19262,2026,"The alpha-Law of Observable Belief Revision in Large Language Model Inference","belief_revision","Introduces a revision exponent governing how models combine prior belief and new evidence across iterative inference.","belief revision exponent","answer probabilities, logprobs, confidence","observable updates approximate a stable multiplicative law","does not include compute cost or corruption hazard explicitly","theory_plus_empirical","Useful for modeling q_t dynamics and revision stability.",keep
2602.13935,2026,"Statistical Early Stopping for Reasoning Models","sequential_inference","Uses uncertainty-keyword processes and finite-sample stopping rules to halt reasoning.","renewal process and sequential testing","uncertainty keywords, stopping statistics","uncertainty markers align with harmful continuation","does not identify latent continuation value directly","theory_plus_empirical","Nearest existing stopping paper on formal sequential methods.",keep
2510.10103,2025,"Stop When Enough: Adaptive Early-Stopping for Chain-of-Thought Reasoning","adaptive_stop","REFRAIN detects reflective redundancy and tunes thresholds with a sliding-window UCB controller.","bandit-style threshold control","redundancy score, difficulty-sensitive thresholds","redundant reasoning can be recognized without supervision","focuses on threshold tuning more than hazard semantics","empirical","Good practical baseline and evidence that stopping is a control problem.",keep_as_baseline
2510.07880,2025,"Do LLMs Really Need 10+ Thoughts for Find the Time 1000 Days Later? Towards Structural Understanding of LLM Overthinking","reasoning_structure","TRACE decomposes long reasoning into sub-thought graphs and identifies over-exploration and over-verification patterns.","thought progression graph","sub-thought units, discourse relations","thought structure is observable enough to analyze","structural patterns alone do not yield sequential guarantees","empirical","Provides strong descriptive taxonomy for failure modes.",keep_as_diagnostics
2510.02249,2025,"Explore Briefly, Then Decide: Mitigating LLM Overthinking via Cumulative Entropy Regulation","entropy_based","Introduces TECA and cumulative entropy regulation to stop when exploration is exhausted.","cumulative entropy metric","token entropy trajectory","entropy reflects exploration progress","can confuse uncertainty with useful ongoing repair","empirical","Supports entropy as an informative but incomplete stop signal.",keep_as_feature
2509.26522,2025,"Entropy After </Think> for reasoning model early exiting","entropy_based","Uses post-think token entropy variance to stop when Pass@1 has plateaued.","entropy variance threshold","post-think entropy","entropy stabilizes when accuracy saturates","needs careful protocol design and may fail on weak models","empirical","Useful lightweight baseline and black-box proxy idea.",keep_as_baseline
2504.01296,2025,"ThinkPrune: Pruning Long Chain-of-Thought of LLMs via Reinforcement Learning","training_time_efficiency","Uses iterative RL with token limits to shorten reasoning while retaining core steps.","length-constrained RL objective","trace length, task reward","training can consolidate reasoning rather than only truncate it","says little about online stopping on frozen models","empirical","Useful contrast: training-time compression versus inference-time stopping.",background
2510.10409,2025,"Trace Length is a Simple Uncertainty Signal in Reasoning Models","uncertainty_estimation","Shows trace length itself is a practical uncertainty estimator in reasoning models.","zero-shot confidence proxy","trace length, forking tokens","post-training changes length-accuracy relation","length is only a coarse proxy for utility","empirical","Supports uncertainty estimation and trace-length covariates.",keep_as_feature
2512.24574,2025,"Understanding and Steering the Cognitive Behaviors of Reasoning Models at Test-Time","hidden_state_control","Identifies attention heads correlated with verification and backtracking and steers them at inference time.","attention-head steering","specialized heads, hidden representations","inefficient cognitive modes are locally steerable","mechanism may be model-specific","empirical","Supports representation-level controls and hidden-state diagnostics.",keep_as_feature
2506.19248,2025,"Inference-Time Reward Hacking in Large Language Models","reward_hacking","Shows proxy optimization inevitably produces a rise-then-fall true reward pattern unless hedged.","reward-KL tradeoff and hedging","reward model score, true reward","proxy misspecification is unavoidable","does not decompose single-trajectory hazards","theory_plus_empirical","Directly supports the positive-bias term kappa_t and post-boundary overshoot.",keep
2506.16507,2025,"Robust Reward Modeling via Causal Rubrics","reward_model_robustness","Mitigates reward hacking by separating causal quality attributes from spurious style attributes.","causal reward model","rubric interventions, reward scores","causal rubrics can isolate true quality drivers","depends on access to an oracle LLM for rubric interventions","empirical","Useful for understanding which proxy components create kappa_t.",keep
2603.06621,2026,"Reward Under Attack: Analyzing the Robustness and Hackability of Process Reward Models","process_reward_models","Shows current PRMs often behave like fluency detectors and are highly exploitable under optimization pressure.","diagnostic framework for PRM hacking","PRM scores, attack success, stylistic shortcuts","PRM robustness must be stress-tested before use","does not provide a stopping theorem","empirical","Strongest recent evidence that PRM-only stopping is unsafe.",keep
2510.08517,2025,"CaRT: Teaching LLM Agents to Know When They Know Enough","termination_decision","Trains termination behavior with counterfactual trajectory pairs where stopping is and is not appropriate.","counterfactual termination supervision","trajectory pairs, verbalized rationale","counterfactual pairs can teach stop-versus-continue decisions","focuses on interactive agents more than token-level reasoning traces","empirical","Useful for value-of-computation and intervention framing.",background
2602.03814,2026,"Conformal Thinking: Risk Control for Reasoning on a Compute Budget","risk_control","Turns compute-budget selection into distribution-free risk control with upper and lower stopping thresholds.","conformal risk control","confidence thresholds, risk targets","validation data can calibrate stopping thresholds","distribution-free guarantees still rely on calibration stability","theory_plus_empirical","Important bridge from stopping heuristics to explicit risk guarantees.",keep
2602.06379,2026,"E-values for Adaptive Clinical Trials: Anytime-Valid Monitoring in Practice","safe_anytime_inference","Explains e-values and e-processes for optional stopping with continuous monitoring.","e-process and confidence sequence","interim test statistics, e-values","anytime-valid betting constructions remain calibrated under optional stopping","domain is clinical trials, not LLMs","methodology","Best external reference for building stronger sequential guarantees.",keep_as_theory
2210.01948,2023,"Game-theoretic statistics and safe anytime-valid inference","safe_anytime_inference","Surveys e-processes and confidence sequences as the right objects for safe anytime-valid inference.","test martingales and confidence sequences","test martingales, confidence sequences","nonnegative martingales are the correct evidence objects under optional stopping","not specific to LLMs or reasoning traces","theory","Foundational justification for sequential validity claims in this repo.",keep_as_theory
2602.02103,2026,"No Global Plan in Chain-of-Thought: Uncover the Latent Planning Horizon of LLMs","representation_analysis","Probes hidden states and argues LLM reasoning is myopic, with only short latent planning horizons.","latent planning horizon probe","hidden states, uncertainty proxies","small subsets of CoT positions summarize path uncertainty","does not directly address stopping cost tradeoffs","empirical","Supports myopic hazard models over strong global-plan assumptions.",keep
2512.22245,2025,"Calibrating LLM Judges: Linear Probes for Fast and Reliable Uncertainty Estimation","uncertainty_estimation","Uses linear probes on hidden states to produce calibrated uncertainty estimates much faster than multi-sample methods.","linear hidden-state probe","hidden states, Brier calibration","hidden states encode judge uncertainty in a linearly accessible way","current estimates can be conservative on easy data","empirical","Relevant for q_t estimation from hidden states.",keep
2510.19669,2025,"DiffAdapt: Difficulty-Adaptive Reasoning for Token-Efficient LLM Inference","adaptive_compute","Uses entropy and a small final-state probe to select easy, normal, or hard inference strategies.","difficulty classifier plus strategy routing","entropy, final hidden state","difficulty is classifiable from lightweight features","relies on strategy bins rather than direct continuation value","empirical","Strong evidence that entropy plus hidden-state probes are actionable.",keep
2510.21067,2025,"The Virtues of Brevity: Avoid Overthinking in Parallel Test-Time Reasoning","parallel_reasoning","Finds that shortest-answer selection often beats more elaborate parallel selectors because verbose samples come from an uncertain overthinking regime.","two-regime heuristic","solution length, uncertainty regime","short answers preferentially sample the concise regime","parallel selection is not single-trajectory stopping","empirical","Supports a two-regime view and brevity-sensitive anti-baseline.",background
2509.24238,2025,"Learning to Ponder: Adaptive Reasoning in Latent Space","latent_control","Uses a tiny controller and latent steering vector to allocate extra pondering steps only where useful.","latent controller with GRPO reward","hidden states, steering vectors","latent-space control can replace explicit long CoT","does not expose repair and corruption hazards explicitly","empirical","Useful evidence that reasoning depth can be controlled in representation space.",keep_as_feature
2507.07996,2025,"Skip a Layer or Loop it? Test-Time Depth Adaptation of Pretrained LLMs","depth_adaptation","Shows that per-sample layer skipping and looping can improve both efficiency and accuracy without finetuning.","chain-of-layers search","depth path, MCTS search","depth can be adapted per sample at test time","architecture-level adaptation is more general than token-level stopping","empirical","Supports the broader compute-allocation framing beyond token count alone.",background
