run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,temperature,seed,prompt_mode,system_prompt_mode,is_baseline,ever_correct,correct_at_step_1,oracle_stop,first_correct_step,first_model_stop_step,revision_count,best_utility,final_correct,device
qwen2p5_7b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,0.1,7,minimal_json,default,0,0,0,1,14,14,6,0.0,0,cuda
qwen2p5_7b__math_test_00001_28176864__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00001_28176864,math,MATH 5,math,1,0.1,7,minimal_json,default,0,0,0,1,14,4,3,0.0,0,cuda
qwen2p5_7b__math_test_00002_12859ab8__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00002_12859ab8,math,MATH 5,math,2,0.1,7,minimal_json,default,0,0,0,1,14,3,2,0.0,0,cuda
qwen2p5_7b__math_test_00003_b88cddac__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00003_b88cddac,math,MATH 2,math,3,0.1,7,minimal_json,default,0,0,0,1,14,14,3,0.0,0,cuda
qwen2p5_7b__math_test_00004_d6afb929__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00004_d6afb929,math,MATH 5,math,4,0.1,7,minimal_json,default,0,0,0,1,14,3,2,0.0,0,cuda
qwen2p5_7b__math_test_00005_82ab404f__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00005_82ab404f,math,MATH 5,math,5,0.1,7,minimal_json,default,0,0,0,1,14,14,2,0.0,0,cuda
qwen2p5_7b__math_test_00006_27e7448e__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00006_27e7448e,math,MATH 4,math,6,0.1,7,minimal_json,default,0,1,0,4,4,4,3,0.85,1,cuda
qwen2p5_7b__math_test_00007_8a27500a__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00007_8a27500a,math,MATH 5,math,7,0.1,7,minimal_json,default,0,0,0,1,14,14,3,0.0,0,cuda
qwen2p5_7b__math_test_00008_e894d48c__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00008_e894d48c,math,MATH 2,math,8,0.1,7,minimal_json,default,0,1,0,3,3,3,2,0.9,1,cuda
qwen2p5_7b__math_test_00009_99c62e67__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,math_test_00009_99c62e67,math,MATH 3,math,9,0.1,7,minimal_json,default,0,0,0,1,14,3,2,0.0,0,cuda
