run_name,run_label,family,parameter_count,correctness_feature,correctness_label,correctness_coefficient,correctness_display,corruption_feature,corruption_label,corruption_coefficient,corruption_display
deepseek_r1_distill_1p5b__gpqa,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,answer_changed,answer revision flag,-0.1884217501004603,"answer revision flag (answer_changed, coeff=-0.188)",answer_changed,answer revision flag,0.6594086459052335,"answer revision flag (answer_changed, coeff=0.659)"
deepseek_r1_distill_7b__gpqa,DeepSeek 7B,DeepSeek-R1 distill,7B,entropy_mean,token entropy,0.1476763779135951,"token entropy (entropy_mean, coeff=0.148)",answer_changed,answer revision flag,0.6916443442712693,"answer revision flag (answer_changed, coeff=0.692)"
qwen2p5_0p5b__gpqa,Qwen 0.5B,Qwen2.5 instruct,0.5B,verbose_confidence_proxy,verbosity-confidence proxy,-0.174779731846799,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.175)",answer_changed,answer revision flag,0.843791397718048,"answer revision flag (answer_changed, coeff=0.844)"
qwen2p5_3b__gpqa,Qwen 3B,Qwen2.5 instruct,3B,entropy_mean,token entropy,0.3111930248868253,"token entropy (entropy_mean, coeff=0.311)",answer_changed,answer revision flag,0.5785281827669879,"answer revision flag (answer_changed, coeff=0.579)"
qwen2p5_7b__gpqa,Qwen 7B,Qwen2.5 instruct,7B,entropy_std,entropy volatility,0.2205519321581408,"entropy volatility (entropy_std, coeff=0.221)",hidden_l2_shift,hidden-state L2 drift,0.9223626292312026,"hidden-state L2 drift (hidden_l2_shift, coeff=0.922)"
qwen2p5_14b__gpqa,Qwen 14B,Qwen2.5 instruct,14B,entropy_mean,token entropy,0.1324337281165098,"token entropy (entropy_mean, coeff=0.132)",hidden_l2_shift,hidden-state L2 drift,0.7019821750114873,"hidden-state L2 drift (hidden_l2_shift, coeff=0.702)"
qwen2p5_32b__gpqa,Qwen 32B,Qwen2.5 instruct,32B,confidence,self-reported confidence,0.1917916708381696,"self-reported confidence (confidence, coeff=0.192)",answer_changed,answer revision flag,0.3984817183524003,"answer revision flag (answer_changed, coeff=0.398)"
mistral_7b_instruct_v0p3__gpqa,Mistral instruct 7B,Mistral instruct,7B,lexical_echo,lexical echo,0.1385005052413133,"lexical echo (lexical_echo, coeff=0.139)",answer_changed,answer revision flag,0.6722243869979381,"answer revision flag (answer_changed, coeff=0.672)"
phi_4_mini_instruct__gpqa,Phi 4 4B,Phi 4,4B,confidence,self-reported confidence,0.1319383323362653,"self-reported confidence (confidence, coeff=0.132)",answer_changed,answer revision flag,0.5149298818223726,"answer revision flag (answer_changed, coeff=0.515)"
internlm3_8b_instruct__gpqa,InternLM3 8B,InternLM3,8B,answer_changed,answer revision flag,-0.1001836637162231,"answer revision flag (answer_changed, coeff=-0.100)",hidden_l2_shift,hidden-state L2 drift,0.9957748674553368,"hidden-state L2 drift (hidden_l2_shift, coeff=0.996)"
yi_1p5_9b_chat__gpqa,Yi 1.5 9B,Yi 1.5,9B,confidence,self-reported confidence,0.2147944121179,"self-reported confidence (confidence, coeff=0.215)",answer_changed,answer revision flag,0.864061817752936,"answer revision flag (answer_changed, coeff=0.864)"
mistral_small_24b_2409__gpqa,Mistral Small 22B,Mistral Small,22B,entropy_std,entropy volatility,0.3802015510189094,"entropy volatility (entropy_std, coeff=0.380)",hidden_l2_shift,hidden-state L2 drift,0.8036265022962436,"hidden-state L2 drift (hidden_l2_shift, coeff=0.804)"
llama_3p1_8b_instruct__gpqa,Llama 3.1 8B,Llama 3.1,8B,confidence,self-reported confidence,0.3457692172822955,"self-reported confidence (confidence, coeff=0.346)",hidden_l2_shift,hidden-state L2 drift,0.6739770906708673,"hidden-state L2 drift (hidden_l2_shift, coeff=0.674)"
