run_id,brier,auc,n,scope
deepseek_r1_distill_7b__math_test_00000_5a6bb412__temp0.10__seed7,0.21645771000035816,0.75,14,per_run_oof
deepseek_r1_distill_7b__math_test_00000_5a6bb412__temp0.60__seed7,0.18930803401926205,0.6153846153846154,14,per_run_oof
deepseek_r1_distill_7b__math_test_00000_5a6bb412__temp1.00__seed7,0.24193301218435653,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00001_28176864__temp0.10__seed7,0.1962946090777699,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00001_28176864__temp0.60__seed7,0.1780730280460015,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00001_28176864__temp1.00__seed7,0.19027379074700096,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00002_12859ab8__temp0.10__seed7,0.2225768746855375,0.625,14,per_run_oof
deepseek_r1_distill_7b__math_test_00002_12859ab8__temp0.60__seed7,0.2135687401039412,0.6666666666666666,14,per_run_oof
deepseek_r1_distill_7b__math_test_00002_12859ab8__temp1.00__seed7,0.2206467825076417,0.7,14,per_run_oof
deepseek_r1_distill_7b__math_test_00003_b88cddac__temp0.10__seed7,0.20412458770984157,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00003_b88cddac__temp0.60__seed7,0.22010650137934476,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00003_b88cddac__temp1.00__seed7,0.1787480708856905,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00004_d6afb929__temp0.10__seed7,0.26303700563515175,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00004_d6afb929__temp0.60__seed7,0.25041877404856394,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00004_d6afb929__temp1.00__seed7,0.18563008927807648,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00005_82ab404f__temp0.10__seed7,0.23865657155394057,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00005_82ab404f__temp0.60__seed7,0.26915290030856187,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00005_82ab404f__temp1.00__seed7,0.22878818463905995,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00006_27e7448e__temp0.10__seed7,0.22747664685471244,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00006_27e7448e__temp0.60__seed7,0.2001311556336868,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00006_27e7448e__temp1.00__seed7,0.18671380614823332,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00007_8a27500a__temp0.10__seed7,0.2459901245238773,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00007_8a27500a__temp0.60__seed7,0.22767696639691573,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00007_8a27500a__temp1.00__seed7,0.22402925443485347,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00008_e894d48c__temp0.10__seed7,0.3745491772889445,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00008_e894d48c__temp0.60__seed7,0.2636494366306653,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00008_e894d48c__temp1.00__seed7,0.20266327036757723,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00009_99c62e67__temp0.10__seed7,0.17392251606696346,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00009_99c62e67__temp0.60__seed7,0.19361533116181184,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00009_99c62e67__temp1.00__seed7,0.17740517502429307,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00010_88e977e0__temp0.10__seed7,0.200529663779347,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00010_88e977e0__temp0.60__seed7,0.26151649796847376,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00010_88e977e0__temp1.00__seed7,0.24399815133978997,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00011_3e051151__temp0.10__seed7,0.23000933861578574,0.5454545454545454,14,per_run_oof
deepseek_r1_distill_7b__math_test_00011_3e051151__temp0.60__seed7,0.45435263232706724,0.375,14,per_run_oof
deepseek_r1_distill_7b__math_test_00011_3e051151__temp1.00__seed7,0.27974525721593047,0.7083333333333333,14,per_run_oof
deepseek_r1_distill_7b__math_test_00012_2ce46331__temp0.10__seed7,0.2916535527767089,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00012_2ce46331__temp0.60__seed7,0.2115248653753092,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00012_2ce46331__temp1.00__seed7,0.24341273380983358,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00013_3fae6c79__temp0.10__seed7,0.19189917639087195,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00013_3fae6c79__temp0.60__seed7,0.19861816388346182,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00013_3fae6c79__temp1.00__seed7,0.23718735128862029,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00014_4bed628b__temp0.10__seed7,0.20478183749713477,0.15384615384615385,14,per_run_oof
deepseek_r1_distill_7b__math_test_00014_4bed628b__temp0.60__seed7,0.2218366759242493,0.625,14,per_run_oof
deepseek_r1_distill_7b__math_test_00014_4bed628b__temp1.00__seed7,0.21387181663066598,0.625,14,per_run_oof
deepseek_r1_distill_7b__math_test_00015_04ca2ad3__temp0.10__seed7,0.25051189883451996,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00015_04ca2ad3__temp0.60__seed7,0.26551151166931464,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00015_04ca2ad3__temp1.00__seed7,0.21058597654907993,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00016_da610902__temp0.10__seed7,0.23677410283934885,0.6666666666666667,14,per_run_oof
deepseek_r1_distill_7b__math_test_00016_da610902__temp0.60__seed7,0.2872060271749396,0.0,14,per_run_oof
deepseek_r1_distill_7b__math_test_00016_da610902__temp1.00__seed7,0.2576584779776367,0.7333333333333333,14,per_run_oof
deepseek_r1_distill_7b__math_test_00017_c6ed297b__temp0.10__seed7,0.22777870553339327,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00017_c6ed297b__temp0.60__seed7,0.21290251340846394,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00017_c6ed297b__temp1.00__seed7,0.25005514895213776,1.0,14,per_run_oof
deepseek_r1_distill_7b__math_test_00018_407dceb0__temp0.10__seed7,0.2685535559879596,0.48888888888888893,14,per_run_oof
deepseek_r1_distill_7b__math_test_00018_407dceb0__temp0.60__seed7,0.24523662120341863,0.6458333333333334,14,per_run_oof
deepseek_r1_distill_7b__math_test_00018_407dceb0__temp1.00__seed7,0.2646265277583121,0.45454545454545453,14,per_run_oof
deepseek_r1_distill_7b__math_test_00019_646b1b85__temp0.10__seed7,0.2601349175171918,0.39999999999999997,14,per_run_oof
deepseek_r1_distill_7b__math_test_00019_646b1b85__temp0.60__seed7,0.23144759708078763,0.6326530612244898,14,per_run_oof
deepseek_r1_distill_7b__math_test_00019_646b1b85__temp1.00__seed7,0.22058313504468724,0.6,14,per_run_oof
deepseek_r1_distill_7b__math_test_00020_f9bb4c02__temp0.10__seed7,0.31943256372968415,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00020_f9bb4c02__temp0.60__seed7,0.21712614348982845,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00020_f9bb4c02__temp1.00__seed7,0.17113393436230698,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00021_b40f659d__temp0.10__seed7,0.25956679022088336,0.5416666666666666,14,per_run_oof
deepseek_r1_distill_7b__math_test_00021_b40f659d__temp0.60__seed7,0.2338769875040642,0.8333333333333334,14,per_run_oof
deepseek_r1_distill_7b__math_test_00021_b40f659d__temp1.00__seed7,0.24473061176836156,0.5,14,per_run_oof
deepseek_r1_distill_7b__math_test_00022_8fba220b__temp0.10__seed7,0.22954374369527403,0.5151515151515151,14,per_run_oof
deepseek_r1_distill_7b__math_test_00022_8fba220b__temp0.60__seed7,0.23163454730398705,0.5208333333333334,14,per_run_oof
deepseek_r1_distill_7b__math_test_00022_8fba220b__temp1.00__seed7,0.22484655567614434,0.6499999999999999,14,per_run_oof
deepseek_r1_distill_7b__math_test_00023_998c2d9c__temp0.10__seed7,0.27804211170194615,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00023_998c2d9c__temp0.60__seed7,0.2203367991982604,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00023_998c2d9c__temp1.00__seed7,0.24677611610644304,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00024_f928c750__temp0.10__seed7,0.1682617064565863,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00024_f928c750__temp0.60__seed7,0.21030632109250505,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00024_f928c750__temp1.00__seed7,0.21935999302574014,0.7692307692307692,14,per_run_oof
deepseek_r1_distill_7b__math_test_00025_4388bd76__temp0.10__seed7,0.15757431936314029,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00025_4388bd76__temp0.60__seed7,0.2042667881802759,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00025_4388bd76__temp1.00__seed7,0.20392708707345983,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00026_4945051e__temp0.10__seed7,0.2196239837319339,0.8571428571428571,14,per_run_oof
deepseek_r1_distill_7b__math_test_00026_4945051e__temp0.60__seed7,0.2456841754276041,0.6458333333333334,14,per_run_oof
deepseek_r1_distill_7b__math_test_00026_4945051e__temp1.00__seed7,0.22463541906679094,0.875,14,per_run_oof
deepseek_r1_distill_7b__math_test_00027_9d852676__temp0.10__seed7,0.2788160007952017,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00027_9d852676__temp0.60__seed7,0.24557458057943923,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00027_9d852676__temp1.00__seed7,0.21050447966020935,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00028_a585adcc__temp0.10__seed7,0.36909561688631426,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00028_a585adcc__temp0.60__seed7,0.28117576696102586,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00028_a585adcc__temp1.00__seed7,0.2388085517822919,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00029_1b84e405__temp0.10__seed7,0.17285284680972976,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00029_1b84e405__temp0.60__seed7,0.23314842725199725,,14,per_run_oof
deepseek_r1_distill_7b__math_test_00029_1b84e405__temp1.00__seed7,0.15744138248264575,1.0,14,per_run_oof
deepseek_r1_distill_7b__math_test_00030_a477f137__temp0.10__seed7,0.24577657379250484,0.5384615384615384,14,per_run_oof
deepseek_r1_distill_7b__math_test_00030_a477f137__temp0.60__seed7,0.18490535418848048,1.0,14,per_run_oof
