run_name,run_label,family,parameter_count,correctness_feature,correctness_label,correctness_coefficient,correctness_display,corruption_feature,corruption_label,corruption_coefficient,corruption_display
deepseek_r1_distill_1p5b__arc,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,verbose_confidence_proxy,verbosity-confidence proxy,-0.161841997469992,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.162)",answer_changed,answer revision flag,0.519749817874749,"answer revision flag (answer_changed, coeff=0.520)"
deepseek_r1_distill_7b__arc,DeepSeek 7B,DeepSeek-R1 distill,7B,confidence,self-reported confidence,0.8346228401624012,"self-reported confidence (confidence, coeff=0.835)",answer_changed,answer revision flag,0.3640330167805051,"answer revision flag (answer_changed, coeff=0.364)"
qwen2p5_0p5b__arc,Qwen 0.5B,Qwen2.5 instruct,0.5B,verbose_confidence_proxy,verbosity-confidence proxy,-0.1654077945116246,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.165)",hidden_l2_shift,hidden-state L2 drift,0.8480926612551276,"hidden-state L2 drift (hidden_l2_shift, coeff=0.848)"
qwen2p5_3b__arc,Qwen 3B,Qwen2.5 instruct,3B,confidence,self-reported confidence,0.7624321702479184,"self-reported confidence (confidence, coeff=0.762)",entropy_std,entropy volatility,0.623745935276417,"entropy volatility (entropy_std, coeff=0.624)"
qwen2p5_7b__arc,Qwen 7B,Qwen2.5 instruct,7B,entropy_mean,token entropy,-0.7579823667835579,"token entropy (entropy_mean, coeff=-0.758)",verbose_confidence_proxy,verbosity-confidence proxy,1.086180082320559,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=1.086)"
qwen2p5_14b__arc,Qwen 14B,Qwen2.5 instruct,14B,confidence,self-reported confidence,0.5891697986995537,"self-reported confidence (confidence, coeff=0.589)",thought_token_count,reasoning length,1.0552450843333452,"reasoning length (thought_token_count, coeff=1.055)"
qwen2p5_32b__arc,Qwen 32B,Qwen2.5 instruct,32B,confidence,self-reported confidence,1.7893567266727817,"self-reported confidence (confidence, coeff=1.789)",confidence,self-reported confidence,4.455088033762964,"self-reported confidence (confidence, coeff=4.455)"
mistral_7b_instruct_v0p3__arc,Mistral instruct 7B,Mistral instruct,7B,verbose_confidence_proxy,verbosity-confidence proxy,-0.4473770238082437,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.447)",hidden_l2_shift,hidden-state L2 drift,0.8650959691296782,"hidden-state L2 drift (hidden_l2_shift, coeff=0.865)"
llama_3p1_8b_instruct__arc,Llama 3.1 8B,Llama 3.1,8B,confidence,self-reported confidence,0.6909275352978288,"self-reported confidence (confidence, coeff=0.691)",thought_token_count,reasoning length,0.5587983030620067,"reasoning length (thought_token_count, coeff=0.559)"
phi_4_mini_instruct__arc,Phi 4 4B,Phi 4,4B,confidence,self-reported confidence,0.7614566226861628,"self-reported confidence (confidence, coeff=0.761)",verbose_confidence_proxy,verbosity-confidence proxy,0.4679372521865339,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=0.468)"
internlm3_8b_instruct__arc,InternLM3 8B,InternLM3,8B,thought_token_count,reasoning length,-0.2876937619785705,"reasoning length (thought_token_count, coeff=-0.288)",hidden_l2_shift,hidden-state L2 drift,1.3539050008287867,"hidden-state L2 drift (hidden_l2_shift, coeff=1.354)"
yi_1p5_9b_chat__arc,Yi 1.5 9B,Yi 1.5,9B,confidence,self-reported confidence,0.6097686604796685,"self-reported confidence (confidence, coeff=0.610)",answer_changed,answer revision flag,0.5644903262757845,"answer revision flag (answer_changed, coeff=0.564)"
mistral_small_24b_2409__arc,Mistral Small 22B,Mistral Small,22B,confidence,self-reported confidence,1.849532507676685,"self-reported confidence (confidence, coeff=1.850)",answer_changed,answer revision flag,0.644869936410867,"answer revision flag (answer_changed, coeff=0.645)"
