run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,oracle,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,first_answer,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,answer_stability,4,0.85,1,1.0,0.15000000000000002,0,1,3
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,entropy_plateau,5,0.8,1,1.0,0.19999999999999996,0,1,4
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,hazard_drift,3,0.9,1,1.0,0.09999999999999998,0,1,2
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,e_process,7,0.7,1,1.0,0.30000000000000004,0,1,6
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,never_stop,10,0.55,1,1.0,0.44999999999999996,0,1,9
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,oracle,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,first_answer,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,answer_stability,4,0.85,1,1.0,0.15000000000000002,0,1,3
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,entropy_plateau,5,0.8,1,1.0,0.19999999999999996,0,1,4
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,hazard_drift,3,0.9,1,1.0,0.09999999999999998,0,1,2
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,e_process,7,0.7,1,1.0,0.30000000000000004,0,1,6
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,never_stop,10,0.55,1,1.0,0.44999999999999996,0,1,9
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,gsm8k_train_00000_b5828bc4,oracle,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,gsm8k_train_00000_b5828bc4,first_answer,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,gsm8k_train_00000_b5828bc4,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,gsm8k_train_00000_b5828bc4,answer_stability,3,0.9,1,1.0,0.09999999999999998,0,1,2
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,gsm8k_train_00000_b5828bc4,entropy_plateau,7,0.7,1,1.0,0.30000000000000004,0,1,6
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,gsm8k_train_00000_b5828bc4,hazard_drift,3,0.9,1,1.0,0.09999999999999998,0,1,2
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,gsm8k_train_00000_b5828bc4,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
