run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity,out_of_sample
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,verifier_first_correct,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,answer_stability,10,-0.45,2,-0.05,0.4,0,1,8,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,entropy_plateau,10,-0.45,2,-0.05,0.4,0,1,8,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,hazard_drift,6,-0.25,2,-0.05,0.2,0,1,4,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,empirical_bernstein,13,-0.6000000000000001,2,-0.05,0.55,0,1,11,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,e_process,3,-0.1,2,-0.05,0.05,0,1,1,1
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,never_stop,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,verifier_first_correct,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,answer_stability,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,entropy_plateau,9,-0.4,2,-0.05,0.35000000000000003,0,1,7,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,hazard_drift,3,-0.1,2,-0.05,0.05,0,1,1,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,empirical_bernstein,13,-0.6000000000000001,2,-0.05,0.55,0,1,11,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,e_process,3,-0.1,2,-0.05,0.05,0,1,1,1
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,never_stop,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,verifier_first_correct,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,answer_stability,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,entropy_plateau,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,hazard_drift,3,-0.1,2,-0.05,0.05,0,1,1,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,empirical_bernstein,13,-0.6000000000000001,2,-0.05,0.55,0,1,11,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,e_process,3,-0.1,2,-0.05,0.05,0,1,1,1
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,math_test_00004_d6afb929,never_stop,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,verifier_first_correct,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,answer_stability,6,-0.25,2,-0.05,0.2,0,1,4,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,entropy_plateau,6,-0.25,2,-0.05,0.2,0,1,4,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,hazard_drift,3,-0.1,2,-0.05,0.05,0,1,1,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,empirical_bernstein,13,-0.6000000000000001,2,-0.05,0.55,0,1,11,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,e_process,3,-0.1,2,-0.05,0.05,0,1,1,1
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,math_test_00006_27e7448e,never_stop,14,-0.65,2,-0.05,0.6,0,1,12,1
phi_4_mini_instruct__math_test_00008_e894d48c__temp0.10__seed7,math_test_00008_e894d48c,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
phi_4_mini_instruct__math_test_00008_e894d48c__temp0.10__seed7,math_test_00008_e894d48c,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
