run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity,out_of_sample
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,oracle,2,0.95,2,0.95,0.0,0,0,0,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,first_answer,1,0.0,2,0.95,0.95,1,0,0,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,verifier_first_correct,2,0.95,2,0.95,0.0,0,0,0,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,answer_stability,3,0.9,2,0.95,0.04999999999999993,0,1,1,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,entropy_plateau,3,0.9,2,0.95,0.04999999999999993,0,1,1,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,hazard_drift,3,0.9,2,0.95,0.04999999999999993,0,1,1,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,empirical_bernstein,9,0.6,2,0.95,0.35,0,1,7,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,e_process,3,0.9,2,0.95,0.04999999999999993,0,1,1,1
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,gpqa_main_00001_eadb944e,never_stop,10,0.55,2,0.95,0.3999999999999999,0,1,8,1
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,gpqa_main_00002_1250771f,oracle,2,0.95,2,0.95,0.0,0,0,0,1
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,gpqa_main_00002_1250771f,first_answer,1,1.0,2,0.95,-0.050000000000000044,1,0,0,1
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,gpqa_main_00002_1250771f,verifier_first_correct,1,1.0,2,0.95,-0.050000000000000044,1,0,0,1
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,gpqa_main_00002_1250771f,answer_stability,9,0.6,2,0.95,0.35,0,1,7,1
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,gpqa_main_00002_1250771f,entropy_plateau,10,0.55,2,0.95,0.3999999999999999,0,1,8,1
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,gpqa_main_00002_1250771f,hazard_drift,2,0.95,2,0.95,0.0,0,0,0,1
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,gpqa_main_00002_1250771f,empirical_bernstein,9,0.6,2,0.95,0.35,0,1,7,1
