run_id,trajectory_type
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,persistent_wrong
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,persistent_wrong
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,persistent_correct
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.10__seed7,persistent_wrong
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00017_89d492f6__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00018_86b6a534__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00019_fe91f244__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00020_7d8a849a__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00021_8849281d__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00022_80c4da46__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00023_5c659510__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00024_f139cc04__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00025_1a030c71__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00026_bf9e0c24__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00027_21e7ba75__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00028_07c2d0db__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00029_9fc74e20__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00030_4f09989a__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00031_1c0c7800__temp0.10__seed7,repair
qwen2p5_7b__gsm8k_train_00032_366614d9__temp0.10__seed7,corruption
qwen2p5_7b__gsm8k_train_00033_285b14f1__temp0.10__seed7,corruption
