run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,expected_answer,step,thought,answer,answer_normalized,correct,confidence,model_stop_flag,answer_changed,thought_token_count,raw_generation_tokens,mean_token_logprob,entropy_mean,entropy_std,hidden_norm,hidden_l2_shift,hidden_cosine_shift,lexical_echo,verbose_confidence_proxy,utility,elapsed_seconds,tokens_per_second,gpu_memory_allocated_gb,seed,temperature,device,prompt_mode,system_prompt_mode,is_baseline,parse_success,output_format_type,answer_extraction_source,stop_extraction_source,confidence_extraction_source,hit_max_new_tokens,truncated_output_suspected,raw_text_length_chars,raw_text_length_tokens,raw_text,k2_agreement,k2_raw_generation_tokens,answer_span_mean_logprob,answer_span_min_logprob,answer_span_mean_entropy,answer_span_std_entropy,mid_hidden_1_proj,mid_hidden_2_proj
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,1,Calculate the number of people who ran last year.,160,160,0,100,0,0,9,34,-0.020316237583756447,0.057500604540109634,0.172088623046875,91.01705169677734,0.0,0.0,0.0,1.34,0.0,4.881736294366419,6.964735075763186,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,95,34,"THOUGHT: Calculate the number of people who ran last year.
ANSWER: 160
CONFIDENCE: 100
STOP: no",1,34,-8.852138853399083e-05,-0.00026127262390218675,0.0008249199017882347,0.0013785089831799269,"7.827395,4.227154,2.813630,-2.244941,-2.868008,-2.722554,13.299157,-5.298547,9.210320,-6.709157,-8.707614,8.137722,5.226436,3.515526,8.392412,5.332884,-1.392614,7.714528,1.846591,-7.254323,-6.939614,6.082390,14.249201,10.713972,4.587219,-4.202295,-2.744226,-4.353398,2.438234,7.330416,-12.156211,-5.538545,4.755544,8.673772,6.547779,0.073691,-2.585718,2.451598,-1.469175,-1.811260,-1.685887,4.796612,9.355297,0.815021,13.031837,-7.134397,-5.632715,2.390607,4.700618,1.386241,0.542285,4.665393,-5.113181,-8.517805,4.557114,5.789927,-5.447553,-0.884269,6.584089,-5.681925,-2.514231,-6.187168,-5.337905,-4.532792","17.146172,21.730001,-7.922748,-9.988342,-9.587974,-25.315419,21.649695,-0.218918,16.167611,-17.331790,-15.146350,7.191902,3.963173,12.535100,22.929604,10.647407,0.227077,15.738486,1.110541,-17.830700,-7.907907,14.782422,22.019759,16.400485,7.924604,-0.421029,3.745668,-15.074424,-6.262389,18.411781,-12.853467,-13.713416,14.331612,13.450405,6.189503,9.205295,-7.766496,11.663143,-0.201593,-10.054189,9.193776,10.877071,5.750731,-3.729232,6.066398,-14.118312,-19.281329,0.065804,16.910437,0.943824,7.528973,-5.601650,-7.942692,-9.726953,0.466056,7.461182,-1.123289,-10.674222,15.358964,-2.881365,-16.723624,-4.288844,-11.573736,-13.483454"
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,2,"This year, the number of runners will be twice the number from last year.",320,320,1,100,0,1,14,41,-0.07767658680677414,0.12907195091247559,0.283473402261734,87.98062133789062,34.756980895996094,0.07485431432723999,0.3333333333333333,1.4100000000000001,0.95,3.826813924126327,10.713873423924165,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,0,structured_partial,ANSWER_line,default,CONFIDENCE_line,0,0,118,41,"THOUGHT: This year, the number of runners will be twice the number from last year.
ANSWER: 320
CONFIDENCE: 100
STOP: 0",1,39,-3.973642748178463e-08,-1.1920928244535389e-07,1.008679191727424e-06,1.735417640702508e-06,"7.184301,4.946687,2.951736,-3.296658,-3.999274,-2.817025,12.166338,-5.551921,9.550664,-5.451333,-7.690235,8.731650,5.267016,3.189445,8.087694,6.787277,-2.234715,4.788720,1.340886,-6.574249,-8.751107,6.996088,17.419462,13.769003,4.806949,-2.553515,-0.062134,-5.060069,4.766170,7.081395,-10.752278,-3.964829,4.254083,7.232756,7.138450,0.495979,-3.980195,1.351738,-1.748291,-1.069068,-0.167237,5.687830,9.600332,0.117297,12.070997,-5.318343,-5.764148,2.638718,5.845175,3.223739,2.429931,7.200232,-5.469257,-6.780905,6.316742,8.267749,-4.595466,-1.361223,4.732762,-4.964158,-3.534204,-7.853181,-4.783742,-4.209332","11.889865,20.820541,-6.356104,-5.773215,-12.175270,-26.448664,20.422301,0.098143,12.456346,-17.688736,-15.106492,11.718175,7.461307,13.904801,23.920513,10.098419,-3.868878,15.438227,-0.670988,-17.815397,-16.189325,14.038104,31.002871,18.138230,12.977302,3.913222,13.113756,-18.487558,-0.806663,16.379317,-16.288766,-9.301523,20.229594,12.762854,4.546853,4.307981,-12.576621,1.924207,-6.485973,3.723600,8.478366,6.167407,11.365100,-8.315200,3.667120,-12.090951,-18.594376,-0.122814,19.201477,8.436676,14.806650,3.056489,-13.742559,-4.413095,3.532816,11.453841,-2.806955,-11.432135,17.726850,-6.760550,-17.913065,-5.585189,-10.535844,-8.016363"
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,3,Verify the calculation by doubling last year's runners.,320,320,1,100,0,0,9,34,-0.0511438213288784,0.12384989857673645,0.2547660768032074,87.94599151611328,34.592952728271484,0.07732886075973511,0.2,1.34,0.9,3.7905898839235306,8.969580208135726,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,101,34,"THOUGHT: Verify the calculation by doubling last year's runners.
ANSWER: 320
CONFIDENCE: 100
STOP: no",1,37,0.0,0.0,1.5406301789866461e-09,2.208848215445869e-09,"5.948214,4.256513,3.084433,-1.754940,-0.549294,-1.343299,13.055837,-5.391270,7.895638,-6.303392,-6.400476,9.639487,6.831184,5.246687,8.246283,4.588006,-0.900616,7.205298,4.003186,-7.580524,-6.719469,6.432135,16.630508,9.952564,5.291626,-1.843802,-1.114327,-4.357477,1.623868,8.736810,-9.953306,-7.643750,5.833565,7.013550,6.458623,-0.577354,-0.809680,0.177683,-2.058354,-1.013434,0.703450,1.754419,10.256836,3.230060,12.850748,-5.295536,-8.464415,2.307231,5.744307,2.080621,1.804681,5.375602,-3.850271,-3.676875,7.325279,8.048842,-3.244976,-0.596703,5.463547,-4.121312,-4.483062,-6.358445,-3.863332,-3.302135","7.323934,13.693146,-4.724968,-2.420952,-7.259800,-25.939697,19.155529,-2.171838,12.205080,-16.727104,-14.584576,12.196739,8.584088,14.732230,21.718542,14.157471,0.933248,22.183804,2.327546,-18.162937,-7.716924,14.786552,29.652154,12.762349,10.203399,3.247786,3.835960,-16.943138,-6.084880,14.408622,-17.858692,-14.715128,23.721746,10.272129,4.499976,1.493009,-7.612820,4.164941,-13.247254,2.088222,7.351344,7.234595,11.893273,-0.579462,2.427150,-13.843140,-23.923368,-0.235036,17.550610,9.541431,13.746352,-1.456052,-5.633405,-5.478185,1.402733,15.302263,0.983714,-9.692790,21.476875,-11.215149,-20.966035,0.773972,-8.574365,-9.853805"
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,4,Confirm the final answer by ensuring the doubling calculation is correct.,320,320,1,100,0,0,11,36,-0.09710034728050232,0.23588337004184723,0.4334297776222229,89.43637084960938,28.61014175415039,0.051891982555389404,0.18181818181818182,1.3599999999999999,0.85,4.123948574997485,8.729497796907411,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,119,36,"THOUGHT: Confirm the final answer by ensuring the doubling calculation is correct.
ANSWER: 320
CONFIDENCE: 100
STOP: no",1,36,0.0,0.0,3.052874064657374e-10,3.752772259613124e-10,"4.106318,3.521492,4.296862,-0.395489,0.051348,-1.790538,10.444654,-6.553845,6.915766,-5.584212,-6.527821,9.955209,7.205535,6.620610,6.486142,4.393330,-1.392844,6.587737,5.825748,-6.512812,-8.021520,6.214693,16.422715,10.054979,6.176032,-2.114322,-1.315855,-3.248452,-0.175585,8.247385,-8.958627,-8.905346,6.666223,6.119873,5.905512,-1.423249,-0.228401,-0.189244,-3.112618,-0.290646,1.752956,0.698747,9.742575,2.999431,14.191572,-4.381059,-9.616831,0.495866,4.805679,1.807478,3.420954,5.104059,-4.202814,-5.114400,7.357073,8.888731,-4.049776,-0.362393,5.064558,-5.043001,-2.908911,-5.936594,-3.588093,-2.793171","5.771066,10.971135,-5.115368,-0.771902,-3.741215,-23.034369,14.478679,-4.221965,14.935912,-17.641626,-16.208698,12.952102,9.065092,17.161141,18.322555,11.672052,2.071085,22.309950,8.277374,-17.212716,-9.394495,12.616466,27.544501,12.980151,11.132902,3.204478,1.456067,-12.751209,-9.777804,19.342072,-17.790258,-16.969944,23.862233,10.405668,5.684870,-2.810483,-9.065835,3.307971,-17.338314,2.237693,8.143863,7.954619,12.366002,2.846460,2.289757,-11.869223,-23.394011,-1.504702,12.377030,9.830380,12.991254,-2.770780,-4.589607,-7.463335,-0.725357,19.201560,-2.754378,-8.463043,21.051720,-15.172932,-24.748920,4.680793,-11.099079,-7.283812"
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,5,Final verification of the doubling calculation.,320,320,1,100,1,0,6,31,-0.12012427300214767,0.2131843864917755,0.4749254286289215,90.53366088867188,27.299041748046875,0.04594510793685913,0.23529411764705882,1.31,0.8,3.8833430344238877,7.982812675882752,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,94,31,"THOUGHT: Final verification of the doubling calculation.
ANSWER: 320
CONFIDENCE: 100
STOP: yes",1,34,0.0,0.0,7.757938041974555e-11,4.2559546165055195e-11,"6.230827,4.918473,1.505046,0.507726,0.582348,-1.223872,12.400308,-6.026408,7.757603,-6.530161,-6.520112,8.654731,7.998315,6.253019,7.242047,6.140402,-1.478912,6.586275,6.468885,-7.718027,-7.960460,5.655132,16.057938,10.898272,7.547724,-0.993087,-1.461693,-2.845739,0.052447,9.557048,-10.751814,-8.191458,7.611903,7.588948,6.323472,0.292418,0.097707,0.107285,-4.088086,-0.744205,-0.180757,1.238556,10.181699,4.543272,13.118103,-3.970975,-10.658677,1.310345,5.580225,2.871691,1.534692,4.313789,-3.679535,-3.542175,6.813829,8.206170,-3.877459,-0.508151,3.245111,-4.569296,-3.223027,-5.484292,-4.581861,-3.650938","6.652628,9.692918,-10.162637,1.615515,-1.472791,-20.680614,15.940702,-4.273491,12.299536,-17.294673,-13.216303,14.238303,9.618594,18.666941,17.812118,13.287498,3.010255,22.153871,8.033927,-19.062402,-4.695441,11.300023,26.444676,12.244076,12.383283,5.353279,0.020106,-16.650120,-10.088117,19.969000,-15.940698,-15.869143,22.684790,11.626664,5.325509,-1.088761,-8.288760,5.251641,-18.062018,3.364592,8.842403,10.768995,9.112398,-1.433369,2.833276,-14.662721,-25.834781,0.830214,13.937204,11.861917,13.470653,-6.143267,-4.819590,-5.353859,-5.139055,15.285613,-2.815701,-8.689454,14.947398,-12.523227,-27.343907,6.547849,-9.092342,-10.134892"
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00001_3691caf7,gsm8k,grade_school_math,gsm8k,1,400,1,Calculate the number of classrooms with 30 desks.,5,5,0,100,0,0,8,33,-0.004926037508994341,0.022637465968728065,0.06843120604753494,90.3505630493164,0.0,0.0,0.0,1.33,0.0,4.881736294366419,6.759889926476034,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,93,33,"THOUGHT: Calculate the number of classrooms with 30 desks.
ANSWER: 5
CONFIDENCE: 100
STOP: no",1,33,-0.026505718007683754,-0.026505718007683754,0.12261928617954254,0.0,"6.938042,5.405883,3.353329,-1.187048,-2.810794,-1.517592,12.464890,-5.941733,8.320402,-5.412471,-8.517731,8.185662,5.336851,4.989836,9.228437,2.561300,-4.186579,6.967205,2.134123,-7.121274,-7.531214,6.872309,14.414128,9.077215,5.073118,-1.909412,-2.244577,-5.051154,3.121909,7.082612,-12.269061,-7.565448,6.138851,7.309407,7.552820,-0.416012,-2.787269,-0.092383,-2.573932,-1.824848,-1.117886,4.828084,9.703747,3.438548,13.444394,-5.959958,-6.777058,2.625975,5.138667,0.290004,-0.802703,5.857332,-4.707816,-7.153433,4.188109,5.942930,-4.836554,-0.367713,6.703121,-7.258909,-1.735684,-7.925632,-2.464133,-4.112534","12.002339,20.247088,-4.091555,-10.271126,-9.398766,-20.495300,23.655702,-1.915540,14.318676,-16.766620,-13.511341,11.395880,-0.325605,11.840775,25.462846,7.193898,-3.227825,12.786840,-1.989827,-12.253574,-7.207018,14.347960,25.783176,14.326760,5.270194,4.113053,8.987650,-17.844177,-3.785010,18.813544,-15.419974,-18.532179,11.367263,15.448894,6.126323,2.906705,-5.222034,9.167078,-2.926690,-5.967647,4.067406,9.382472,6.160225,0.560433,2.859767,-11.027061,-13.104999,1.101604,18.415969,7.149302,4.490970,-5.708824,-6.864667,-9.040153,-3.785396,12.955689,-1.511345,-8.636784,19.983628,-6.047931,-8.605969,-7.523631,-8.441424,-14.874662"
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00001_3691caf7,gsm8k,grade_school_math,gsm8k,1,400,2,"Calculate the number of classrooms with 25 desks, which is 15 - 5 = 10.",200,200,0,100,0,1,13,49,-0.054627418518066406,0.10641845315694809,0.2750033736228943,84.04837036132812,41.98517608642578,0.11344999074935913,0.5,1.49,-0.05,3.826813924126327,12.804385311519123,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,0,structured_partial,ANSWER_line,default,CONFIDENCE_line,0,0,116,49,"THOUGHT: Calculate the number of classrooms with 25 desks, which is 15 - 5 = 10.
ANSWER: 200
CONFIDENCE: 100
STOP: 0",1,49,-0.4678344428539276,-0.9066798686981201,0.6177030205726624,0.5301806330680847,"5.788982,5.484142,1.458982,-3.910359,-2.345363,-1.468703,12.412372,-5.292837,9.093109,-4.177594,-8.232215,7.408098,3.919482,4.292308,10.096311,2.031847,-2.376572,4.743482,0.152927,-6.507841,-8.141464,8.624420,15.081344,11.694671,6.689677,-0.972344,-0.916789,-6.085021,3.657016,5.349461,-12.164276,-8.367252,5.056762,7.575888,7.065594,0.206787,-4.031645,2.031554,-3.229996,-0.168708,-0.284971,4.112112,9.625781,0.683169,11.477723,-4.879861,-6.797950,2.531614,6.175551,1.024069,0.347215,5.636450,-4.287745,-6.836661,6.018613,8.569067,-3.198705,-3.650755,5.843727,-4.353904,-2.473705,-7.490547,-3.368271,-4.590752","8.821523,15.381782,-7.238280,-16.243865,-8.985954,-16.693723,22.762821,-1.752235,13.598280,-18.410118,-16.457543,12.096218,1.701343,13.277319,20.029519,3.446476,-0.758480,16.013927,-1.914600,-14.055723,-15.267170,16.339822,23.485257,11.968833,6.895945,5.975744,10.620575,-16.439074,-4.697219,13.839289,-15.965921,-17.965816,15.081749,14.268093,5.655197,3.088273,-10.446261,6.038573,-10.341453,-3.295179,3.761045,7.862617,9.527622,-5.601788,5.399891,-6.175114,-14.321982,-4.635812,21.022427,4.897824,2.337401,-2.167754,-8.822223,-9.099103,0.856156,14.826505,2.242381,-12.135225,19.224856,-2.300853,-15.118005,-4.950248,-8.141541,-7.845649"
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00001_3691caf7,gsm8k,grade_school_math,gsm8k,1,400,3,Calculate the total number of desks by summing the desks in both types of classrooms.,350,350,0,100,0,1,15,41,-0.050061021000146866,0.12523889541625977,0.2604222297668457,88.56605529785156,35.946022033691406,0.08542025089263916,0.3,1.4100000000000001,-0.1,3.7905898839235306,10.816258486281317,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,131,41,"THOUGHT: Calculate the total number of desks by summing the desks in both types of classrooms.
ANSWER: 350
CONFIDENCE: 100
STOP: no",1,40,-0.11402121931314468,-0.3244371712207794,0.3000113070011139,0.4354087710380554,"4.056849,5.712993,2.982862,-5.088110,-3.165019,-0.803999,13.060077,-5.636316,7.818067,-5.575615,-7.400944,7.593031,2.928837,3.582357,11.103013,3.572394,-2.990074,5.377481,1.474607,-8.499634,-7.932299,8.137891,16.637348,8.813908,1.757348,0.256754,-0.059112,-3.227589,2.903294,7.560898,-9.211813,-6.300288,7.394082,5.831521,5.008087,-0.563832,-2.271865,0.115528,-1.596317,-1.070156,-0.185353,5.347980,10.901877,1.771254,11.031488,-5.154737,-4.826790,3.068201,6.488777,0.271244,-0.829124,4.800781,-3.714057,-6.320117,6.112406,5.936562,-3.988800,0.628349,6.240725,-5.075928,-3.266632,-7.542128,-1.774513,-3.662384","5.491567,18.587221,-3.319049,-10.966361,-13.121384,-21.854846,21.802444,-1.332992,14.826065,-20.359504,-8.054993,13.058069,3.098990,15.340486,20.734218,6.761028,5.140954,12.622155,0.895570,-15.500886,-11.247868,16.101562,29.456651,14.059697,7.917249,6.743756,8.954287,-11.228315,-6.330374,18.111433,-18.269632,-21.455033,24.275154,8.632910,3.942241,-0.823127,-3.626640,2.648279,-9.986693,-4.108860,-0.627194,6.333512,9.677986,-5.261834,4.133718,-13.053979,-14.371713,2.674884,17.669728,6.187262,7.677584,4.680133,-6.317287,-6.224504,-0.302783,14.124175,-3.629915,-5.247288,24.196192,-11.206458,-15.452907,-5.073431,-6.487912,-12.775814"
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00001_3691caf7,gsm8k,grade_school_math,gsm8k,1,400,4,Verify the total number of desks calculation by summing 5 classrooms with 30 desks and 10 classrooms with 25 desks.,350,350,0,100,0,0,20,53,-0.08280418813228607,0.11092697083950043,0.26847490668296814,86.8984375,29.729080200195312,0.057238101959228516,0.5217391304347826,1.53,-0.15000000000000002,4.123948574997485,12.851760645447023,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,161,53,"THOUGHT: Verify the total number of desks calculation by summing 5 classrooms with 30 desks and 10 classrooms with 25 desks.
ANSWER: 350
CONFIDENCE: 100
STOP: no",1,32,-0.00038934857002459466,-0.001167807262390852,0.003352040657773614,0.005802344996482134,"3.119695,5.580132,1.903707,-6.520072,-4.644947,-1.167908,12.624545,-6.630962,8.495870,-3.223815,-7.088302,8.914331,4.479450,4.580958,11.065747,1.097332,-1.828062,4.416210,0.747564,-7.601054,-8.134411,9.190266,16.988865,9.395207,4.510950,0.412789,1.025028,-3.927321,3.630536,7.338000,-9.810793,-7.068580,6.957204,6.522447,7.195013,-1.588600,-2.376941,0.016044,-0.839891,-0.392582,1.591919,5.996013,12.181962,2.147274,11.596609,-3.909166,-6.724094,2.715475,7.415375,1.108818,-0.040010,4.643434,-3.576909,-5.151015,7.822379,7.157245,-2.219212,-2.169157,4.685215,-4.262373,-2.668348,-6.453949,-0.958368,-2.313303","6.175658,15.177992,-5.987163,-14.937691,-10.993373,-22.411177,22.015289,-2.384043,12.045248,-17.779734,-16.660382,9.661135,3.027146,12.159396,21.627859,5.789087,0.695654,12.919705,-0.534554,-15.575660,-12.100240,15.745119,31.293597,15.736495,10.049739,6.383339,6.892968,-13.300561,-5.336073,12.628483,-18.585811,-18.387925,22.469975,12.186906,8.229011,0.211215,-5.930657,-2.278788,-11.038408,-1.861882,1.752156,12.787339,15.755634,-4.117739,4.191713,-8.848159,-16.165750,-0.371159,19.836724,5.087463,8.082272,0.562401,-8.964571,-8.449451,1.103968,18.389692,3.086734,-11.178819,22.882022,-7.988251,-19.628581,-2.791853,-5.673906,-6.668978"
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp0.60__seed7,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,gsm8k_train_00001_3691caf7,gsm8k,grade_school_math,gsm8k,1,400,5,Confirm the total number of desks matches the school's capacity.,350,350,0,100,1,0,11,36,-0.11896872520446777,0.22399741411209106,0.5065101385116577,89.1620101928711,42.87099838256836,0.11827504634857178,0.2,1.3599999999999999,-0.2,3.8833430344238877,9.270363107476744,27.685160160064697,7,0.6,cuda,structured_four_line,default,0,1,structured_exact,ANSWER_line,STOP_line,CONFIDENCE_line,0,0,111,36,"THOUGHT: Confirm the total number of desks matches the school's capacity.
ANSWER: 350
CONFIDENCE: 100
STOP: yes",1,35,0.0,0.0,3.743488363738834e-08,6.368358640429506e-08,"5.243906,5.403103,2.760931,-1.854456,-1.731272,-1.254521,11.689209,-5.668548,7.782440,-4.726895,-8.905391,7.885757,5.969823,4.493145,8.187710,5.662921,-1.820553,7.560737,5.485724,-7.729592,-9.271878,5.724116,18.270044,9.185146,3.552189,-1.037039,-0.959824,-3.219501,0.967533,8.046101,-10.060040,-7.756218,7.123379,8.316328,6.464810,-0.627365,-0.024790,-0.568050,-2.182683,-1.322820,2.017367,3.154302,10.073966,1.733344,11.922594,-3.750291,-7.333817,2.254440,4.708005,1.183473,0.730182,3.788153,-6.093293,-6.694628,6.305257,7.484773,-4.828028,0.604953,3.598564,-5.260024,-2.109081,-7.075309,-3.957903,-3.251603","6.106862,9.972481,-6.515816,-7.772750,-7.059530,-20.003345,15.862032,-5.025478,11.343428,-15.319514,-14.961449,11.212871,5.751464,13.956566,16.398835,12.572514,0.826081,16.784455,1.944198,-16.910129,-10.086214,11.328802,28.695054,9.959840,10.107538,3.690474,-0.546210,-14.608071,-7.323278,18.162503,-18.069744,-18.956069,24.382774,12.362768,7.642044,-1.758372,-7.447994,4.736901,-15.144792,-0.298412,5.353389,11.456396,11.859190,-2.186311,4.770195,-8.387772,-20.880914,3.322494,11.151235,4.251875,11.181660,-2.017079,-10.254131,-7.764150,-2.858521,14.354590,2.365084,-8.020865,19.479369,-14.971859,-23.496788,2.043094,-12.310512,-11.374680"
