run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,oracle,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,first_answer,1,0.0,2,0.95,0.95,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,verifier_first_correct,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,answer_stability,10,0.55,2,0.95,0.3999999999999999,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,entropy_plateau,3,0.9,2,0.95,0.04999999999999993,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,hazard_drift,3,0.9,2,0.95,0.04999999999999993,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,empirical_bernstein,9,0.6,2,0.95,0.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,never_stop,10,0.55,2,0.95,0.3999999999999999,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,oracle,3,0.9,3,0.9,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,first_answer,1,0.0,3,0.9,0.9,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,verifier_first_correct,3,0.9,3,0.9,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,answer_stability,10,-0.45,3,0.9,1.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,entropy_plateau,5,-0.2,3,0.9,1.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,hazard_drift,2,-0.05,3,0.9,0.9500000000000001,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,empirical_bernstein,9,-0.4,3,0.9,1.3,0,1,6
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,gsm8k_train_00001_3691caf7,never_stop,10,-0.45,3,0.9,1.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,answer_stability,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,entropy_plateau,6,-0.25,1,0.0,0.25,0,1,5
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,hazard_drift,6,-0.25,1,0.0,0.25,0,1,5
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,empirical_bernstein,9,-0.4,1,0.0,0.4,0,1,8
