run_id,brier,auc,n,scope
llama_3p1_8b_instruct__math_test_00000_5a6bb412__temp0.10__seed7,0.3284780965869683,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00000_5a6bb412__temp0.60__seed7,0.24774361128797184,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00000_5a6bb412__temp1.00__seed7,0.30275203776228027,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00001_28176864__temp0.10__seed7,0.1984495711618138,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00001_28176864__temp0.60__seed7,0.17783689199049343,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00001_28176864__temp1.00__seed7,0.14699759051082512,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00002_12859ab8__temp0.10__seed7,0.26261194838741664,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00002_12859ab8__temp0.60__seed7,0.3462116436154896,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00002_12859ab8__temp1.00__seed7,0.19614939258611996,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00003_b88cddac__temp0.10__seed7,0.25542059006534473,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00003_b88cddac__temp0.60__seed7,0.2566814305706947,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00003_b88cddac__temp1.00__seed7,0.060226052830528454,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00004_d6afb929__temp0.10__seed7,0.05328589422767689,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00004_d6afb929__temp0.60__seed7,0.22393666249570132,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00004_d6afb929__temp1.00__seed7,0.29631671370151436,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00005_82ab404f__temp0.10__seed7,0.3074808407834781,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00005_82ab404f__temp0.60__seed7,0.3089017122313689,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00005_82ab404f__temp1.00__seed7,0.3229266043510158,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00006_27e7448e__temp0.10__seed7,0.19793031441928322,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00006_27e7448e__temp0.60__seed7,0.27469246498422956,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00006_27e7448e__temp1.00__seed7,0.2667826919500213,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00007_8a27500a__temp0.10__seed7,0.34978500545793084,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00007_8a27500a__temp0.60__seed7,0.22737697092327874,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00007_8a27500a__temp1.00__seed7,0.1493006970074779,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00008_e894d48c__temp0.10__seed7,0.4686872627770118,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00008_e894d48c__temp0.60__seed7,0.3566731927601351,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00008_e894d48c__temp1.00__seed7,0.20060477981962474,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00009_99c62e67__temp0.10__seed7,0.3418253308302403,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00009_99c62e67__temp0.60__seed7,0.293740112740214,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00009_99c62e67__temp1.00__seed7,0.2929332102096783,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00010_88e977e0__temp0.10__seed7,0.23195265226314962,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00010_88e977e0__temp0.60__seed7,0.21393202459377925,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00010_88e977e0__temp1.00__seed7,0.1797702295749852,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00011_3e051151__temp0.10__seed7,0.09575339714122498,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00011_3e051151__temp0.60__seed7,0.22321252132605846,0.6458333333333333,14,per_run_oof
llama_3p1_8b_instruct__math_test_00011_3e051151__temp1.00__seed7,0.221196342225659,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00012_2ce46331__temp0.10__seed7,0.09949388169943883,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00012_2ce46331__temp0.60__seed7,0.03250977952986382,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00012_2ce46331__temp1.00__seed7,0.10844639287251336,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00013_3fae6c79__temp0.10__seed7,0.08159214414194157,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00013_3fae6c79__temp0.60__seed7,0.3721109749334587,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00013_3fae6c79__temp1.00__seed7,0.24464322276080594,0.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00014_4bed628b__temp0.10__seed7,0.32109970968216456,0.3846153846153846,14,per_run_oof
llama_3p1_8b_instruct__math_test_00014_4bed628b__temp0.60__seed7,0.3015111314875597,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00014_4bed628b__temp1.00__seed7,0.18343191775328058,0.8888888888888888,14,per_run_oof
llama_3p1_8b_instruct__math_test_00015_04ca2ad3__temp0.10__seed7,0.3473387247418317,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00015_04ca2ad3__temp0.60__seed7,0.21241722464909626,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00015_04ca2ad3__temp1.00__seed7,0.14465874992048125,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00016_da610902__temp0.10__seed7,0.3399090352544701,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00016_da610902__temp0.60__seed7,0.1426014762046866,0.8484848484848485,14,per_run_oof
llama_3p1_8b_instruct__math_test_00016_da610902__temp1.00__seed7,0.08369680491605604,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00017_c6ed297b__temp0.10__seed7,0.07596023178897482,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00017_c6ed297b__temp0.60__seed7,0.26145396853988856,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00017_c6ed297b__temp1.00__seed7,0.10700020906352918,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00018_407dceb0__temp0.10__seed7,0.27297215271076797,0.775,14,per_run_oof
llama_3p1_8b_instruct__math_test_00018_407dceb0__temp0.60__seed7,0.13107450477823943,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00018_407dceb0__temp1.00__seed7,0.330165009104667,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00019_646b1b85__temp0.10__seed7,0.1334483779969716,0.925,14,per_run_oof
llama_3p1_8b_instruct__math_test_00019_646b1b85__temp0.60__seed7,0.3585406950097596,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00019_646b1b85__temp1.00__seed7,0.42079278874224235,0.375,14,per_run_oof
llama_3p1_8b_instruct__math_test_00020_f9bb4c02__temp0.10__seed7,0.21713630788903182,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00020_f9bb4c02__temp0.60__seed7,0.05868438552538454,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00020_f9bb4c02__temp1.00__seed7,0.054456860552235135,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00021_b40f659d__temp0.10__seed7,0.07583947929134263,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00021_b40f659d__temp0.60__seed7,0.14704210001799686,1.0,14,per_run_oof
llama_3p1_8b_instruct__math_test_00021_b40f659d__temp1.00__seed7,0.17210732691979724,0.9393939393939393,14,per_run_oof
llama_3p1_8b_instruct__math_test_00022_8fba220b__temp0.10__seed7,0.2644852774520849,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00022_8fba220b__temp0.60__seed7,0.3865589690996149,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00022_8fba220b__temp1.00__seed7,0.1847740086276833,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00023_998c2d9c__temp0.10__seed7,0.043501461819773594,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00023_998c2d9c__temp0.60__seed7,0.1258234437545108,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00023_998c2d9c__temp1.00__seed7,0.06498260230758923,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00024_f928c750__temp0.10__seed7,0.2867243733221337,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00024_f928c750__temp0.60__seed7,0.195251161671329,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00024_f928c750__temp1.00__seed7,0.28832594450854704,0.75,14,per_run_oof
llama_3p1_8b_instruct__math_test_00025_4388bd76__temp0.10__seed7,0.1816193915007329,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00025_4388bd76__temp0.60__seed7,0.23394851662517807,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00025_4388bd76__temp1.00__seed7,0.27486925796069156,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00026_4945051e__temp0.10__seed7,0.40239373692011743,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00026_4945051e__temp0.60__seed7,0.4133434100709443,,14,per_run_oof
llama_3p1_8b_instruct__math_test_00026_4945051e__temp1.00__seed7,0.32162106591499867,,14,per_run_oof
