run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,expected_answer,step,thought,answer,answer_normalized,correct,confidence,model_stop_flag,answer_changed,thought_token_count,raw_generation_tokens,mean_token_logprob,entropy_mean,entropy_std,hidden_norm,hidden_l2_shift,hidden_cosine_shift,lexical_echo,verbose_confidence_proxy,utility,elapsed_seconds,tokens_per_second,gpu_memory_allocated_gb,seed,temperature,device,prompt_mode,system_prompt_mode,is_baseline,parse_success,output_format_type,answer_extraction_source,stop_extraction_source,confidence_extraction_source,hit_max_new_tokens,truncated_output_suspected,raw_text_length_chars,raw_text_length_tokens,raw_text
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,1,This is an incremental reasoning problem where we need to determine the number of digits in a repeating decimal that results from converting a fraction to a decimal.,3,3,0,95,0,0,28,57,-0.2741214632987976,0.6554265022277832,0.7824042439460754,120.24030303955078,0.0,0.0,0.0,1.52,0.0,23.648561985697597,2.4102945470626502,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,236,57,"{
  ""thought"": ""This is an incremental reasoning problem where we need to determine the number of digits in a repeating decimal that results from converting a fraction to a decimal."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,2,I need to understand the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.21762563288211823,0.5075019598007202,0.8756625056266785,111.32653045654297,55.11007308959961,0.110476553440094,0.2413793103448276,1.44,-0.05,25.19766973471269,1.9446242654929657,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,147,49,"{
  ""thought"": ""I need to understand the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,3,I need to understand the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.026989886537194252,0.11136815696954727,0.2949286103248596,105.69039916992188,19.373825073242188,0.014600396156311035,0.41379310344827586,1.44,-0.1,29.206927003804594,1.6776842012039503,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,147,49,"{
  ""thought"": ""I need to understand the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,4,I need to understand the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.03105572797358036,0.11498746275901794,0.3183869421482086,107.98870086669922,8.541718482971191,0.002964913845062256,1.0,1.44,-0.15000000000000002,33.3663016106002,1.468547535530072,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,147,49,"{
  ""thought"": ""I need to understand the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,5,I need to understand the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.03692110255360603,0.13005518913269043,0.3558649718761444,110.66560363769531,6.372310161590576,0.0013991594314575195,1.0,1.44,-0.2,40.64730337867513,1.2054920235054747,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,147,49,"{
  ""thought"": ""I need to understand the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,6,I need to understand the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.036870989948511124,0.13286973536014557,0.364950567483902,111.17337036132812,3.2594168186187744,0.00042134523391723633,1.0,1.44,-0.25,43.853610860183835,1.1173538287696339,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,147,49,"{
  ""thought"": ""I need to understand the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,7,I need to understand the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.043240875005722046,0.14526954293251038,0.403991162776947,111.76829528808594,3.1524035930633545,0.0003857612609863281,1.0,1.44,-0.30000000000000004,48.4940868280828,1.010432471359049,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,147,49,"{
  ""thought"": ""I need to understand the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,8,I have already determined the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.15991148352622986,0.3627863824367523,0.6998299956321716,111.30237579345703,18.124460220336914,0.013194501399993896,0.6,1.44,-0.35000000000000003,54.04897648887709,0.9065851600369134,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,152,49,"{
  ""thought"": ""I have already determined the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,9,I have already determined the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.03549633175134659,0.13607965409755707,0.34040698409080505,107.06179809570312,16.006210327148438,0.009995460510253906,0.8,1.44,-0.4,56.71131025440991,0.86402517910772,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,152,49,"{
  ""thought"": ""I have already determined the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,10,I have already determined the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.032555676996707916,0.1303013563156128,0.29847055673599243,108.76717376708984,5.4650373458862305,0.0011575818061828613,1.0,1.44,-0.45,64.20481977798045,0.7631825798972952,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,152,49,"{
  ""thought"": ""I have already determined the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,11,I have already determined the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.03492071107029915,0.1348375529050827,0.29513660073280334,109.4299545288086,3.068035125732422,0.0003769397735595703,1.0,1.44,-0.5,68.43525584693998,0.7160052138855413,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,152,49,"{
  ""thought"": ""I have already determined the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,12,I have already determined the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.038040708750486374,0.14751635491847992,0.3234698474407196,109.52340698242188,2.6312050819396973,0.00028842687606811523,1.0,1.44,-0.55,73.67760210065171,0.6650596463910512,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,152,49,"{
  ""thought"": ""I have already determined the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,13,I have already determined the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.04476308450102806,0.16154301166534424,0.3476419746875763,110.26892852783203,3.04304575920105,0.0003603696823120117,1.0,1.44,-0.6000000000000001,79.51181463431567,0.616260617687533,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,152,49,"{
  ""thought"": ""I have already determined the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00000_5a6bb412__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00000_5a6bb412,math,MATH 4,math,0,5,14,I have already determined the repeating decimal pattern of the fraction 31/11111.,3,3,0,95,0,0,13,49,-0.04688684642314911,0.16476520895957947,0.3420640826225281,110.1255874633789,2.8369455337524414,0.0003306269645690918,1.0,1.44,-0.65,86.02496105013415,0.569602117825354,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,152,49,"{
  ""thought"": ""I have already determined the repeating decimal pattern of the fraction 31/11111."",
  ""answer"": 3,
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00001_28176864__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00001_28176864,math,MATH 5,math,1,\frac{1}{2},1,The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem.,0.25,1/4,0,95,0,0,34,67,-0.2587449252605438,0.5752418637275696,0.6756703853607178,113.47218322753906,0.0,0.0,0.0,1.62,0.0,23.648561985697597,2.833153239529782,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,280,67,"{
  ""thought"": ""The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem."",
  ""answer"": ""0.25"",
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00001_28176864__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00001_28176864,math,MATH 5,math,1,\frac{1}{2},2,The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem.,0.25,1/4,0,95,0,0,34,67,-0.07637688517570496,0.24040347337722778,0.47129568457603455,126.10843658447266,31.181489944458008,0.028393566608428955,1.0,1.62,-0.05,25.19766973471269,2.658976036490382,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,280,67,"{
  ""thought"": ""The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem."",
  ""answer"": ""0.25"",
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00001_28176864__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00001_28176864,math,MATH 5,math,1,\frac{1}{2},3,The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem.,0.25,1/4,0,95,0,0,34,67,-0.03530634939670563,0.14793023467063904,0.3389332592487335,127.52127075195312,8.989503860473633,0.0024505257606506348,1.0,1.62,-0.1,29.206927003804594,2.2939763567482587,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,280,67,"{
  ""thought"": ""The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem."",
  ""answer"": ""0.25"",
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00001_28176864__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00001_28176864,math,MATH 5,math,1,\frac{1}{2},4,The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem.,0.25,1/4,0,95,0,0,34,67,-0.028232034295797348,0.12787772715091705,0.3097894489765167,126.865234375,4.195077419281006,0.0005306005477905273,1.0,1.62,-0.15000000000000002,33.3663016106002,2.0080139771533636,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,280,67,"{
  ""thought"": ""The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem."",
  ""answer"": ""0.25"",
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00001_28176864__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00001_28176864,math,MATH 5,math,1,\frac{1}{2},5,The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem.,0.25,1/4,0,95,0,0,34,67,-0.02630029246211052,0.12394730001688004,0.2868528664112091,128.1595916748047,3.6085827350616455,0.0003489255905151367,1.0,1.62,-0.2,40.64730337867513,1.648325828058506,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,280,67,"{
  ""thought"": ""The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem."",
  ""answer"": ""0.25"",
  ""confidence"": 95,
  ""stop"": false
}"
qwen2p5_0p5b__math_test_00001_28176864__temp0.10__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,math_test_00001_28176864,math,MATH 5,math,1,\frac{1}{2},6,The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem.,0.25,1/4,0,95,0,0,34,67,-0.02755694091320038,0.12564629316329956,0.28018447756767273,128.23280334472656,3.367785692214966,0.00034487247467041016,1.0,1.62,-0.25,43.853610860183835,1.5278103372972542,0.9514870643615723,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,280,67,"{
  ""thought"": ""The problem involves calculating the probability that a randomly chosen point from the interior of a rectangle is closer to the center than to any of its vertices. This is a geometric probability problem."",
  ""answer"": ""0.25"",
  ""confidence"": 95,
  ""stop"": false
}"
