run_name,run_label,family,parameter_count,correctness_feature,correctness_label,correctness_coefficient,correctness_display,corruption_feature,corruption_label,corruption_coefficient,corruption_display
deepseek_r1_distill_1p5b__math,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,hidden_cosine_shift,hidden-state cosine drift,-0.8044757996534395,"hidden-state cosine drift (hidden_cosine_shift, coeff=-0.804)",verbose_confidence_proxy,verbosity-confidence proxy,0.2085674990587732,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=0.209)"
deepseek_r1_distill_7b__math,DeepSeek 7B,DeepSeek-R1 distill,7B,entropy_std,entropy volatility,0.5864649190320307,"entropy volatility (entropy_std, coeff=0.586)",entropy_std,entropy volatility,0.6644925653669239,"entropy volatility (entropy_std, coeff=0.664)"
qwen2p5_0p5b__math,Qwen 0.5B,Qwen2.5 instruct,0.5B,verbose_confidence_proxy,verbosity-confidence proxy,-0.59113058115092,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.591)",hidden_l2_shift,hidden-state L2 drift,1.8523786218211635,"hidden-state L2 drift (hidden_l2_shift, coeff=1.852)"
qwen2p5_3b__math,Qwen 3B,Qwen2.5 instruct,3B,confidence,self-reported confidence,1.0927290605270827,"self-reported confidence (confidence, coeff=1.093)",entropy_mean,token entropy,0.6360202878499983,"token entropy (entropy_mean, coeff=0.636)"
qwen2p5_7b__math,Qwen 7B,Qwen2.5 instruct,7B,confidence,self-reported confidence,2.59600739154266,"self-reported confidence (confidence, coeff=2.596)",answer_changed,answer revision flag,0.9927293094143248,"answer revision flag (answer_changed, coeff=0.993)"
qwen2p5_14b__math,Qwen 14B,Qwen2.5 instruct,14B,confidence,self-reported confidence,1.8551973821938248,"self-reported confidence (confidence, coeff=1.855)",hidden_l2_shift,hidden-state L2 drift,1.0095396910063006,"hidden-state L2 drift (hidden_l2_shift, coeff=1.010)"
qwen2p5_32b__math,Qwen 32B,Qwen2.5 instruct,32B,confidence,self-reported confidence,1.8100153723705876,"self-reported confidence (confidence, coeff=1.810)",answer_changed,answer revision flag,0.6625172988167434,"answer revision flag (answer_changed, coeff=0.663)"
mistral_7b_instruct_v0p3__math,Mistral instruct 7B,Mistral instruct,7B,confidence,self-reported confidence,0.7896975300220804,"self-reported confidence (confidence, coeff=0.790)",lexical_echo,lexical echo,0.6638678333425742,"lexical echo (lexical_echo, coeff=0.664)"
phi_4_mini_instruct__math,Phi 4 4B,Phi 4,4B,confidence,self-reported confidence,0.8839149468272178,"self-reported confidence (confidence, coeff=0.884)",hidden_l2_shift,hidden-state L2 drift,0.5128781785840687,"hidden-state L2 drift (hidden_l2_shift, coeff=0.513)"
internlm3_8b_instruct__math,InternLM3 8B,InternLM3,8B,entropy_std,entropy volatility,0.5270436342211395,"entropy volatility (entropy_std, coeff=0.527)",hidden_l2_shift,hidden-state L2 drift,0.8704958416966383,"hidden-state L2 drift (hidden_l2_shift, coeff=0.870)"
mistral_small_24b_2409__math,Mistral Small 22B,Mistral Small,22B,confidence,self-reported confidence,1.0993443466730808,"self-reported confidence (confidence, coeff=1.099)",answer_changed,answer revision flag,0.7644598183093625,"answer revision flag (answer_changed, coeff=0.764)"
